sd_id	PrimaryOwner	PrimaryGroup	ACEType	ACEFlags	AccessMask	Flags	ObjectType	InheritedObjectType	TrusteeSID

15
4	S-1-5-21-4185035528-4285459030-256073263-518	S-1-5-21-4185035528-4285459030-256073263-518	05	00	256	1	e12b56b6-0a95-11d1-adbb-00c04fd8d5cd		S-1-5-21-4185035528-4285459030-256073263-518
4	S-1-5-21-4185035528-4285459030-256073263-518	S-1-5-21-4185035528-4285459030-256073263-518	05	00	256	1	1131f6aa-9c07-11d1-f79f-00c04fc2dcd2		S-1-5-9
4	S-1-5-21-4185035528-4285459030-256073263-518	S-1-5-21-4185035528-4285459030-256073263-518	05	00	256	1	1131f6ab-9c07-11d1-f79f-00c04fc2dcd2		S-1-5-9
4	S-1-5-21-4185035528-4285459030-256073263-518	S-1-5-21-4185035528-4285459030-256073263-518	05	00	256	1	1131f6ac-9c07-11d1-f79f-00c04fc2dcd2		S-1-5-9
4	S-1-5-21-4185035528-4285459030-256073263-518	S-1-5-21-4185035528-4285459030-256073263-518	05	00	256	1	1131f6aa-9c07-11d1-f79f-00c04fc2dcd2		S-1-5-32-544
4	S-1-5-21-4185035528-4285459030-256073263-518	S-1-5-21-4185035528-4285459030-256073263-518	05	00	256	1	1131f6ab-9c07-11d1-f79f-00c04fc2dcd2		S-1-5-32-544
4	S-1-5-21-4185035528-4285459030-256073263-518	S-1-5-21-4185035528-4285459030-256073263-518	05	00	256	1	1131f6ac-9c07-11d1-f79f-00c04fc2dcd2		S-1-5-32-544
4	S-1-5-21-4185035528-4285459030-256073263-518	S-1-5-21-4185035528-4285459030-256073263-518	00	02	131220				S-1-5-11
4	S-1-5-21-4185035528-4285459030-256073263-518	S-1-5-21-4185035528-4285459030-256073263-518	00	02	917949				S-1-5-21-4185035528-4285459030-256073263-518
4	S-1-5-21-4185035528-4285459030-256073263-518	S-1-5-21-4185035528-4285459030-256073263-518	00	02	983551				S-1-5-18
4	S-1-5-21-4185035528-4285459030-256073263-518	S-1-5-21-4185035528-4285459030-256073263-518	05	00	256	1	1131f6ad-9c07-11d1-f79f-00c04fc2dcd2		S-1-5-9
4	S-1-5-21-4185035528-4285459030-256073263-518	S-1-5-21-4185035528-4285459030-256073263-518	05	00	256	1	89e95b76-444d-4c62-991a-0facbeda640c		S-1-5-9
