LDAP-Display-Name	msDS-IntId	Attribute-ID	
	0	0	
	0	0	
	0	0	
	0	0	
	0	0	
	0	0	
	0	0	
	0	0	
	0	0	
	0	0	
	0	0	
	0	0	
dMD	0	0	
	0	0	
subSchema	0	0	
accountExpires	0	589983	
attributeSchema	0	0	
accountNameHistory	0	591131	
aCSAggregateTokenRatePerUser	0	590584	
aCSAllocableRSVPBandwidth	0	590590	
aCSCacheTimeout	0	590603	
aCSDirection	0	590581	
aCSDSBMDeadTime	0	590602	
aCSDSBMPriority	0	590600	
aCSDSBMRefresh	0	590601	
aCSEnableACSService	0	590594	
aCSEnableRSVPAccounting	0	590723	
aCSEnableRSVPMessageLogging	0	590592	
aCSEventLogLevel	0	590593	
aCSIdentityName	0	590608	
aCSMaxAggregatePeakRatePerUser	0	590721	
aCSMaxDurationPerFlow	0	590585	
aCSMaxNoOfAccountFiles	0	590725	
aCSMaxNoOfLogFiles	0	590598	
aCSMaxPeakBandwidth	0	590591	
aCSMaxPeakBandwidthPerFlow	0	590583	
aCSMaxSizeOfRSVPAccountFile	0	590726	
aCSMaxSizeOfRSVPLogFile	0	590599	
aCSMaxTokenBucketPerFlow	0	591137	
aCSMaxTokenRatePerFlow	0	590582	
aCSMaximumSDUSize	0	591138	
aCSMinimumDelayVariation	0	591141	
aCSMinimumLatency	0	591140	
aCSMinimumPolicedSize	0	591139	
aCSNonReservedMaxSDUSize	0	591144	
aCSNonReservedMinPolicedSize	0	591145	
aCSNonReservedPeakRate	0	591142	
aCSNonReservedTokenSize	0	591143	
aCSNonReservedTxLimit	0	590604	
aCSNonReservedTxSize	0	590722	
aCSPermissionBits	0	590589	
aCSPolicyName	0	590596	
aCSPriority	0	590588	
aCSRSVPAccountFilesLocation	0	590724	
aCSRSVPLogFilesLocation	0	590597	
aCSServiceType	0	590586	
aCSTimeOfDay	0	590580	
aCSTotalNoOfFlows	0	590587	
aCSServerList	0	591136	
notes	0	590089	
additionalTrustedServiceNames	0	590713	
streetAddress	0	131328	
addressBookRoots	0	591068	
addressEntryDisplayTable	0	131396	
addressEntryDisplayTableMSDOS	0	131472	
homePostalAddress	0	131689	
addressSyntax	0	131327	
addressType	0	131422	
adminContextMenu	0	590438	
adminCount	0	589974	
adminDescription	0	131298	
adminDisplayName	0	131266	
adminMultiselectPropertyPages	0	591514	
adminPropertyPages	0	590386	
allowedAttributes	0	590737	
allowedAttributesEffective	0	590738	
allowedChildClasses	0	590735	
allowedChildClassesEffective	0	590736	
altSecurityIdentities	0	590691	
aNR	0	591032	
appSchemaVersion	0	590672	
applicationName	0	590042	
appliesTo	0	590165	
assetNumber	0	590107	
assistant	0	590476	
