LDAP-Display-Name	Default-Object-Category	
	0	
	0	
	0	
	0	
	0	
	0	
	0	
	0	
	0	
	0	
	0	
	0	
dMD	1796	
	0	
subSchema	1798	
accountExpires	0	
attributeSchema	1800	
accountNameHistory	0	
aCSAggregateTokenRatePerUser	0	
aCSAllocableRSVPBandwidth	0	
aCSCacheTimeout	0	
aCSDirection	0	
aCSDSBMDeadTime	0	
aCSDSBMPriority	0	
aCSDSBMRefresh	0	
aCSEnableACSService	0	
aCSEnableRSVPAccounting	0	
aCSEnableRSVPMessageLogging	0	
aCSEventLogLevel	0	
aCSIdentityName	0	
aCSMaxAggregatePeakRatePerUser	0	
aCSMaxDurationPerFlow	0	
aCSMaxNoOfAccountFiles	0	
aCSMaxNoOfLogFiles	0	
aCSMaxPeakBandwidth	0	
aCSMaxPeakBandwidthPerFlow	0	
aCSMaxSizeOfRSVPAccountFile	0	
aCSMaxSizeOfRSVPLogFile	0	
aCSMaxTokenBucketPerFlow	0	
aCSMaxTokenRatePerFlow	0	
aCSMaximumSDUSize	0	
aCSMinimumDelayVariation	0	
aCSMinimumLatency	0	
aCSMinimumPolicedSize	0	
aCSNonReservedMaxSDUSize	0	
aCSNonReservedMinPolicedSize	0	
aCSNonReservedPeakRate	0	
aCSNonReservedTokenSize	0	
aCSNonReservedTxLimit	0	
aCSNonReservedTxSize	0	
aCSPermissionBits	0	
aCSPolicyName	0	
aCSPriority	0	
aCSRSVPAccountFilesLocation	0	
aCSRSVPLogFilesLocation	0	
aCSServiceType	0	
aCSTimeOfDay	0	
aCSTotalNoOfFlows	0	
aCSServerList	0	
notes	0	
additionalTrustedServiceNames	0	
streetAddress	0	
addressBookRoots	0	
addressEntryDisplayTable	0	
addressEntryDisplayTableMSDOS	0	
homePostalAddress	0	
addressSyntax	0	
addressType	0	
adminContextMenu	0	
adminCount	0	
adminDescription	0	
adminDisplayName	0	
adminMultiselectPropertyPages	0	
adminPropertyPages	0	
allowedAttributes	0	
allowedAttributesEffective	0	
allowedChildClasses	0	
allowedChildClassesEffective	0	
altSecurityIdentities	0	
aNR	0	
appSchemaVersion	0	
applicationName	0	
appliesTo	0	
assetNumber	0	
assistant	0	
assocNTAccount	0	
associatedDomain	0	
associatedName	0	
attributeCertificateAttribute	0	
attributeDisplayNames	0	
attributeID	0	
attributeSecurityGUID	0	
attributeSyntax	0	
attributeTypes	0	
audio	0	
auditingPolicy	0	
authenticationOptions	0	
authorityRevocationList	0	
auxiliaryClass	0	
badPasswordTime	0	
badPwdCount	0	
birthLocation	0	
bridgeheadServerListBL	0	
bridgeheadTransportList	0	
buildingName	0	
builtinCreationTime	0	
builtinModifiedCount	0	
businessCategory	0	
bytesPerMinute	0	
cACertificate	0	
cACertificateDN	0	
cAConnect	0	
cAUsages	0	
cAWEBURL	0	
canUpgradeScript	0	
canonicalName	0	
carLicense	0	
catalogs	0	
categories	0	
categoryId	0	
certificateAuthorityObject	0	
certificateRevocationList	0	
certificateTemplates	0	
classDisplayName	0	
codePage	0	
cOMClassID	0	
cOMCLSID	0	
cOMInterfaceID	0	
cOMOtherProgId	0	
cOMProgID	0	
cOMTreatAsClassId	0	
cOMTypelibId	0	
cOMUniqueLIBID	0	
info	0	
cn	0	
company	0	
contentIndexingAllowed	0	
contextMenu	0	
controlAccessRights	0	
cost	0	
countryCode	0	
c	0	
createDialog	0	
createTimeStamp	0	
createWizardExt	0	
creationTime	0	
creationWizard	0	
creator	0	
cRLObject	0	
cRLPartitionedRevocationList	0	
crossCertificatePair	0	
currMachineId	0	
currentLocation	0	
currentParentCA	0	
currentValue	0	
dBCSPwd	0	
defaultClassStore	0	
defaultGroup	0	
defaultHidingValue	0	
defaultLocalPolicyObject	0	
defaultObjectCategory	0	
defaultPriority	0	
defaultSecurityDescriptor	0	
deltaRevocationList	0	
department	0	
departmentNumber	0	
description	0	
desktopProfile	0	
destinationIndicator	0	
dhcpClasses	0	
dhcpFlags	0	
dhcpIdentification	0	
dhcpMask	0	
dhcpMaxKey	0	
dhcpObjDescription	0	
dhcpObjName	0	
dhcpOptions	0	
dhcpProperties	0	
dhcpRanges	0	
dhcpReservations	0	
dhcpServers	0	
dhcpSites	0	
dhcpState	0	
dhcpSubnets	0	
dhcpType	0	
dhcpUniqueKey	0	
dhcpUpdateTime	0	
displayName	0	
displayNamePrintable	0	
